asset_name,asset_type,commodity,country,region,iso3,lat,lon,ownership_pct,status,commissioned_or_acquired,source_url
Ulan Mine,Underground + Open-cut,Coal,Australia,New South Wales (Mudgee),AUS,-32.25,149.77,90,Active,Acquired via Xstrata 2013,https://www.glencore.com.au/operations-and-projects/coal
Bulga,Open-cut + Underground,Coal,Australia,New South Wales (Singleton),AUS,-32.66,151.16,100,Active,Acquired via Xstrata 2013,https://www.glencore.com.au/operations-and-projects/coal
Mangoola,Open-cut mine,Coal,Australia,New South Wales (Hunter Valley),AUS,-32.33,150.86,100,Active,Acquired via Xstrata 2013,https://www.glencore.com.au/operations-and-projects/coal
Ravensworth,Open-cut mine,Coal,Australia,New South Wales (Hunter Valley),AUS,-32.43,151.00,100,Active,Acquired via Xstrata 2013,https://www.glencore.com.au/operations-and-projects/coal
Liddell Coal,Open-cut + Underground,Coal,Australia,New South Wales (Hunter Valley),AUS,-32.39,150.96,67.5,Active (67.5% JV with Mitsui),JV stake,https://www.glencore.com.au/operations-and-projects/coal
Oaky Creek,Underground longwall,Coal (coking),Australia,Queensland (Bowen Basin),AUS,-23.48,148.27,55,Active (55% JV),JV stake,https://www.glencore.com.au/operations-and-projects/coal
Collinsville,Open-cut + Underground,Coal,Australia,Queensland,AUS,-20.55,147.83,100,Active,Acquired via Xstrata 2013,https://www.glencore.com.au/operations-and-projects/coal
Newlands,Open-cut + Underground,Coal,Australia,Queensland (Bowen Basin),AUS,-21.72,147.86,55,Care & Maintenance,JV stake,https://www.glencore.com.au/operations-and-projects/coal
Hail Creek,Open-cut mine,Coal (coking),Australia,Queensland (Bowen Basin),AUS,-21.43,148.39,82,Active,Acquired from Rio Tinto 2018,https://www.glencore.com.au/operations-and-projects/coal
Clermont,Open-cut mine,Coal (thermal),Australia,Queensland (Bowen Basin),AUS,-22.83,147.50,50,Active,JV stake,https://www.glencore.com.au/operations-and-projects/coal
Cerrejón,Open-cut mine,Coal,Colombia,La Guajira,COL,11.10,-72.61,100,Divestment in process (sold to consortium 2024),Full ownership 2022; sold 2024,https://www.glencore.com/what-we-do/energy-products/coal
Prodeco (La Jagua / Calenturitas),Open-cut mine,Coal,Colombia,Cesar (Becerril),COL,10.16,-73.58,100,Care & Maintenance,C&M since 2021,https://www.glencore.com/what-we-do/energy-products/coal
Tweefontein Operations,Open-cut + Underground,Coal,South Africa,Mpumalanga (eMalahleni),ZAF,-25.79,29.20,79.8,Active,Acquired via Xstrata 2013,https://www.glencore.com/what-we-do/energy-products/coal
Goedgevonden,Open-cut mine,Coal (thermal),South Africa,Mpumalanga,ZAF,-26.10,29.40,74,Active,Acquired via Xstrata 2013,https://www.glencore.com/what-we-do/energy-products/coal
iMpunzi,Open-cut + Underground,Coal,South Africa,Mpumalanga (eMalahleni),ZAF,-26.04,29.36,79.8,Active,Acquired via Xstrata 2013,https://www.glencore.com/what-we-do/energy-products/coal
Wonderfontein,Open-cut mine,Coal,South Africa,Mpumalanga,ZAF,-26.25,29.50,74,Active,Acquired,https://www.glencore.com/what-we-do/energy-products/coal
Astron Energy Cape Town Refinery,Oil refinery (110 kbpd),Oil and gas,South Africa,Western Cape (Cape Town),ZAF,-33.90,18.51,75,Active,Acquired 2018,https://astronenergy.co.za
Aseng / Alen offshore,Offshore production,Oil and gas,Equatorial Guinea,Gulf of Guinea,GNQ,1.37,9.56,23.75,Active (non-operating partner),Acquired,https://www.glencore.com/what-we-do/energy-products/oil
Doba Basin (Chad),Onshore production,Oil and gas,Chad,Logone Oriental,TCD,8.65,16.77,100,Active,Acquired 2014,https://www.glencore.com/what-we-do/energy-products/oil
Volcan Compañía Minera,Polymetallic mines,Zinc; Lead; Silver,Peru,Pasco (Cerro de Pasco),PER,-10.69,-76.26,55,Active (controlling stake),Acquired controlling stake 2017,https://www.glencore.com/what-we-do/metals-and-minerals/zinc
